Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Focal adhesion,1/201,0.3120704738038972,0.4014632864840535,0,0,2.744861111111111,3.196462786581096,EGFR
KEGG_2021_Human,Proteoglycans in cancer,1/205,0.3171988154408463,0.4014632864840535,0,0,2.690495642701525,3.089298458719968,EGFR
KEGG_2021_Human,Rap1 signaling pathway,1/210,0.3235569540648964,0.4014632864840535,0,0,2.625465178096757,2.962522725043629,EGFR
KEGG_2021_Human,cAMP signaling pathway,1/216,0.3311107061150312,0.4014632864840535,0,0,2.551421188630491,2.8200922182497528,CNGA3
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.3336103366557628,0.4014632864840535,0,0,2.5276497695852536,2.77480746844903,EGFR
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.3422876739808511,0.4050404142106738,0,0,2.4477926587301586,2.624287672733528,EGFR
KEGG_2021_Human,Ras signaling pathway,1/232,0.3508550349420652,0.4062928544357981,0,0,2.3727753727753726,2.485202563550029,EGFR
KEGG_2021_Human,Chemical carcinogenesis,1/239,0.3593137751237664,0.4062928544357981,0,0,2.3021708683473388,2.3564082800502475,EGFR
KEGG_2021_Human,Calcium signaling pathway,1/240,0.3605133778796519,0.4062928544357981,0,0,2.292422129242213,2.3387891491405592,EGFR
KEGG_2021_Human,Shigellosis,1/246,0.3676652339194849,0.4078786188794286,0,0,2.2356009070294784,2.236903022200789,EGFR
KEGG_2021_Human,Endocytosis,1/252,0.3747392434823073,0.4093305582652894,0,0,2.1814962372731297,2.141192757453422,EGFR
KEGG_2021_Human,MAPK signaling pathway,1/294,0.4221457712674723,0.4541265115150081,0,0,1.8648084945013272,1.608219414545101,EGFR
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.4392695072225643,0.4654945524298816,0,0,1.7668104998202083,1.453452775148989,EGFR
KEGG_2021_Human,Human papillomavirus infection,1/331,0.4609967535490291,0.4813348456173686,0,0,1.6526094276094276,1.2797217065627104,EGFR
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.4838535063366214,0.4978782456507263,0,0,1.5431224425558705,1.1202653693186988,EGFR
KEGG_2021_Human,Olfactory transduction,1/440,0.561254534073352,0.5692724559886856,0,0,1.2353834472285496,0.7135337121097337,CNGA3
KEGG_2021_Human,Pathways in cancer,1/531,0.630843030854146,0.630843030854146,0,0,1.0185010482180294,0.4692216096960221,EGFR
