Gene,Log2FoldChange,PValue,FDR
ZDHHC9,-0.5487234027777781,1.29273912381394e-05,0.008471750391394
LOC100132215,1.000271111111111,1.393716875947303e-05,0.0088388625100399
SLC16A4,0.8090877777777781,1.522554929262256e-05,0.0093541968466549
ZNF727,-1.0980983333333334,1.5921753424890414e-05,0.0094855052222225
PDDC1,0.4343385416666674,1.702414491854254e-05,0.0098439614440748
CBARA1,-0.281533125000001,1.875546845571333e-05,0.0105352145668378
ZNF679,-0.8083697916666668,1.9314444771371868e-05,0.010547832894588
PRKG2,-1.1610443055555555,2.0615678482012823e-05,0.0106659010251676
SLC25A21,-0.8491461805555556,2.03112379035132e-05,0.0106659010251676
ZNF676,-1.0257696527777778,2.248671987690417e-05,0.0113356131482034
CNNM2,-0.447744444444444,2.3640506634802332e-05,0.0116193090110053
RFX4,0.722575625000001,2.433597515053756e-05,0.0116693968648675
FOXE1,-0.6364463888888889,2.7098153132454447e-05,0.0121079475132739
MOSC2,0.6395965972222237,2.7019709000417336e-05,0.0121079475132739
PAX6,0.6134151388888878,2.601777271568805e-05,0.0121079475132739
FAM154B,0.6256502083333322,2.781660873801723e-05,0.0121527672842093
FBXO17,0.7668796527777779,2.9448153815242637e-05,0.0125858848697319
OTP,1.4339879166666654,3.267941954122532e-05,0.0128495477636097
ZIC2,0.8710426388888886,3.267035432677592e-05,0.0128495477636097
LY6G5C,0.4729643055555543,3.079999609706594e-05,0.0128495477636097
SALL1,0.5506650694444453,3.260529234861412e-05,0.0128495477636097
SH2D4A,0.692128055555556,3.4875016459543845e-05,0.0128740745660352
AQP5,1.534909236111111,3.895256838055395e-05,0.0128740745660352
HNF4G,0.7531066666666684,3.685935749841676e-05,0.0128740745660352
OR4N2,-1.0874766666666669,3.9726889572573406e-05,0.0128740745660352
TMEM91,0.5733904166666655,4.059982823469916e-05,0.0128740745660352
MAP1LC3C,1.0964412499999998,3.754844688916311e-05,0.0128740745660352
GALNT3,1.0509854861111103,4.002849427392888e-05,0.0128740745660352
FOXJ1,1.153893124999998,3.8954131540599824e-05,0.0128740745660352
ZNF43,0.3972093055555543,3.608616046973797e-05,0.0128740745660352
VN1R1,0.6099242361111124,3.915175790539894e-05,0.0128740745660352
SLC30A2,-0.4688009027777777,3.492749615055415e-05,0.0128740745660352
TLX3,-0.4621926388888888,3.886464296983471e-05,0.0128740745660352
ZNF83,0.5608044444444449,4.186131714007097e-05,0.0130633888091078
CRISPLD1,0.690635277777778,4.363042320301783e-05,0.013402720627677
ZNF226,0.4241063888888892,4.481226108519276e-05,0.0135539854297675
TMEM71,0.9184590277777795,4.593086432808204e-05,0.0135725195703185
