Gene,Log2FoldChange,PValue
PPP2R2D,-0.18235972222222152,0.00038920341543988835
NEIL1,0.49341319444444487,0.0003899494107589312
ACCS,0.6769095138888863,0.0003921358588765221
VWC2,-1.45512,0.0003947489328359173
AFAP1L2,-0.6742717361111108,0.00039839566377713895
ACADL,1.2267007638888887,0.00039976476771473563
AEBP1,0.7874978472222178,0.0004014447632923441
TMEFF2,-1.5051693749999977,0.0004018155409698686
C2orf77,0.5778702777777793,0.00040777297012140247
BAMBI,-0.6757343055555562,0.00040894971265325556
ZNF136,0.2793466666666653,0.0004097616040208582
MORN3,0.7533024305555553,0.00041108535553215287
ZSCAN5A,0.3325300694444424,0.000412259600090499
ZIC4,0.712737708333333,0.0004166425971717213
ZNF780A,0.2543164583333333,0.00043267226916408864
ANGPT1,0.9799093749999992,0.0004361374326986802
MARVELD2,0.6381333333333341,0.0004497354001955671
RAB3IL1,-0.48780465277777907,0.00044999862223064007
CHMP2A,0.2888158333333326,0.00045265598029857327
ENTPD2,1.2063894444444445,0.00045324965121034284
PLA2G4C,0.4751363888888882,0.0004551456865733867
ZNF793,0.42942402777777744,0.00045856903213973844
PITRM1,-0.2679323611111091,0.00046056371639836813
FAM176A,-1.2025577777777787,0.0004614228178113631
CXXC5,0.36641979166666694,0.0004673966445380987
LOC149134,0.6464202777777786,0.0004694341661027074
C1orf229,0.4621988888888895,0.0004759770193589861
EHD1,-0.3376338888888881,0.00048266490190141737
BCAS1,-1.471486875,0.00048323689996070953
C18orf45,-0.3410211111111119,0.00048519482806969847
RUNDC2C,0.6229739583333345,0.00048606859409216217
ADAM29,-0.5170465277777776,0.0004918783462919563
ZNF45,0.27191180555555583,0.0004951934517833537
C2orf27A,-0.6425745833333325,0.0004986233616344477
EFHC1,0.40744041666666675,0.0005014400310015132
NDST4,-0.6848331944444445,0.0005049684399613684
CDO1,0.6828347916666662,0.0005062849292368366
HSF1,-0.2285080555555563,0.0005068304951094694
ZNF429,0.2996975000000006,0.000507513431522273
PION,0.5420503472222205,0.0005088182156960203
KLK2,-0.19838041666666667,0.0005130615062726297
TAF5,-0.30486444444444416,0.0005144518371011576
ZNF57,0.24096729166666542,0.0005175581425209975
C10orf41,0.5196042361111104,0.0005184851494205284
ZNF546,0.3174270138888877,0.0005201303198259401
ZNF558,0.2972698611111131,0.0005218899894292383
HSN2,-0.6491272916666662,0.0005242508306283173
RFX2,0.4962854861111108,0.0005299081888718545
ZNF180,0.2907479166666649,0.0005333606242990672
EYA2,0.7362640972222199,0.0005338913323984115
UMODL1,0.749910625,0.0005350934659128803
ZNF529,0.27648069444444623,0.0005351096176600095
SLC14A1,1.525237708333333,0.0005354409615047778
FAM181A,0.7074397916666673,0.0005373799536886094
DDB2,0.4276959027777778,0.0005438933627836299
DOCK10,-0.48405902777777854,0.0005447143081632539
FMOD,1.0842911111111118,0.0005493675565083159
ZNF432,0.3956774999999997,0.0005519264626297524
MAB21L2,1.596442708333334,0.0005535095689423725
HS3ST5,-0.8949739583333343,0.0005563001421209271
ZNF860,0.6973059722222223,0.0005591707931976999
C9orf122,-0.9404658333333333,0.0005594773576301256
IRX2,-1.4390225000000005,0.0005619649063102308
ABHD6,-0.40335486111110974,0.0005660713858523494
MRI1,0.45580194444444366,0.0005675155629963805
BBS2,0.30352458333332955,0.0005747299526883861
TTC12,0.8949542361111114,0.0005778635585632091
